Valuation
Run rate
Sales / month
Sales / week
Sales / day
Orders / month
Orders / day
Posts / Day
Posts
API calls / month
Shares / URLs / etc per day
New users / day
Premium User Conversion Rate
Premium Users
Users / Sites 
Downloads
Visitors / month
Uniques / Month
Uniques / day
Pageviews / month
% Active Users
Active Users
Average Mins / Stay
Page Views / Stay
Reviews / Rating
