Import,Company,Ecosystem,Segment,Official Description,CB Description,Slogan,URL,Tags,Platform,Exit / Conclusion,State,Notes
,Trap.it,,News Aggregation,"Trapit is great content, for you. We scour the web on your behalf, 24/7, organizing the best, most relevant content into individual ""traps"" on your favorite topics and interests for easy consumption. ",Virtual Personal Assistant for the Web,Rule the web,trap.it,"discovery, news, intelligent, automated, persistent discovery, automated curation",web,,active,
,Snip.it,,News Aggregation,"Snip.it lets you effortlessly share your opinions on anything from the web. You can create collections of content (we call them “snips""), add your thoughts, and share them with anyone or everyone. Snip it also makes it easy to discover people with interesting opinions on the issues you care about.",,"Your content, your voice--in one place",snip.it,"content, news, curation, bookmarks",web,,active,
,Pinterest,Pinterest,Social Cataloging,"Pinterest is a social catalog service. Think of it as a virtual pinboard -- a place where you can post collections of things you love, and “follow” collections created by people with great taste.",,,pinterest.com,"content, social, discovery, sharing, catalog, social competition","web, mobile",,active,
,Ness,,Social / Intelligent Recommendations,"The first personal search engine based on your unique tastes, preferences and personality.  We're proud to present our first category, Ness for restaurants.",,,likeness.com,"restaurant, subjective search, personalization, discovery, intelligent",mobile,,,
,Svpply,,"Social Cataloging, Social Shopping","Svpply is a growing community of people discovering the products they love. Use Svpply to keep track of the things you want to buy, or browse a personal feed of products from across the web, curated and filtered by the people and stores you find interesting.",Social shopping,,svpply.com,"discovery, social shopping, retail, bookmarking",web,,active,
,Tumblr,Tumblr,Blogging / Journaling,"Tumblr is a re-envisioning of tumblelogging, a subset of blogging that uses quick, mixed-media posts. The service hopes to do for the tumblelog what services like LiveJournal and Blogger did for the blog. The difference is that its extreme simplicity will make luring users a far easier task than acquiring users for traditional weblogging. Anytime a user sees something interesting online, they can click a quick “Share on Tumblr” bookmarklet that then tumbles the snippet directly. The result is varied string of media ranging links and text to pictures and videos that takes very little time and effort to maintain.",,,tumblr.com,"microblogging, social media, media sharing","web, mobile",,active,
,Foursquare,Geolocation,Blogging / Journaling,"Foursquare is a geographical location based social network that incorporates gaming elements. Users share their location with friends by “checking in” via a smartphone app or by text message. Points are awarded for checking in at various venues. Users can connect their Foursquare accounts to their Twitter and Facebook accounts, which can update when a check in is registered. By checking in a certain number of times, or in different locations, users can collect virtual badges. In addition, users who have checked in the most times at a certain venue will be crowned “Mayor” until someone surpasses their number. Various venues have embraced Foursquare, and offer special deals to users who are “mayors”.",Location based mobile network,,foursquare.com,"location sharing, social media, deals","web, mobile",,,
,Fancy,,Social Shopping,"Fancy is part store, blog, magazine and wishlist. It's a place to discover great stuff, to curate a collection of things you love, to get updates on your favorite brands and stores and to share your discoveries.",,,thefancy.com,"social shopping, retail, catalog, discovery, sharing, automated curation","web, mobile, tablet",,active,
,Wanelo,,Social Shopping,Wanelo is a site for bookmarking and sharing your favorite products.,,,wanelo.com,social shopping,web,,active,
,Ly.st,,Social Shopping,Lyst is a social curation platform that’s changing the way people discover fashion online.,,,lyst.com,"social shopping, social curation, fashion",web,,active,
,GimmeBar,,Social Bookmarking / Discovery,Gimme Bar is more than social bookmarking -- it actually saves your content to the cloud.,,,gimmebar.com,"social bookmarking, booksaving, virtual bulletin board",web,,active,
,Nuji,,Social Shopping,"Nuji is a tool for gathering your ""social wish list""",,,nuji.com,"social shopping, catalog, social sharing","web, mobile",,active,
,lookk.com,,Social Shopping,"LOOKK (formerly Garmz) enables new design talent to reach their customers and start building their brand. As well as empowering customers to discover a previously unseen section of the market, which they can then chose to support, promote and purchase from.",,,lookk.com,"social shopping, catalog, content discovery, fashion",mobile,,active,
no,Everlane,,,,,,,,,,,
no,likeabl.es,,,,,,,,,,,
,Radian6,Salesforce,Social Media Marketing & CRM,"Radian6 helps companies listen to what people are saying about them online and engage in those conversations across the social web. From blogs and comments to multimedia, boards, forums and communities like Twitter, Radian6 gathers the discussions happening online and gives businesses the ability to analyze, manage, track, and report on their social media monitoring and engagement efforts.",Social Media Monitoring Platform,,radian6.com,"social media, social media monitoring, analytics","web, mobile","Acquired by Salesforce, 3/11 for $326M",active
,Polyvore,Fashion,Social Shopping,"Polyvore is the leading community site for online style where users are empowered to discover their style and set trends around the world. The company collaborates with prominent brands such as Calvin Klein, Diane Von Furstenberg, Lancme, Net-a-Porter, Gap and Coach to drive product engagement; and its user-generated fashion campaigns have been judged by Lady Gaga and Katy Perry. Headquartered in Silicon Valley, Polyvore is funded by Benchmark Capital and Matrix Partners",Social Shopping Platform,,polyvore.com,social shopping,web,,active
,Path,,Blogging / Journaling,Path is the simple and private way to share life with close friends & family.,,,path.com,"smart journal, social sharing",mobile,,active
,GoWalla,Geolocation,Blogging / Journaling,,,,gowalla.com,,,,
,Pulse,,"News Aggregation, Personalized Newspaper","Pulse is an elegant news reading application for iPhone, iPad and Android devices. It incorporates colorful panning story bars and fills them with content from your favorite sources. Pulse redefines news, giving you the opportunity to experience the news you desire from traditional sources, your favorite blogs and social networks – all in one beautiful interface.",Bringing you good news,,pulse.me,,"mobile, tablet",,active
,Outbrain,,Content Provision / Recommendation,"Outbrain (www.outbrain.com) is the leading content discovery platform, reaching a highly engaged audience through distribution on top publisher sites, including CNN, Fox News, Hachette Filipacchi Media, Mashable, MSNBC and Slate. Outbrain provides publishers a service for recommended links to increase traffic and generate revenue.",Content discovery platform,,outbrain.com,,,,
,VisualRevenue,,Content Personalization / Optimization,"Visual Revenue's Front Page Recommendation Platform provides Editors with actionable, real-time recommendations on what content to place in what position right now and for how long. Our predictive analytics technology allows media organizations to proactively manage the cost of exposing a piece of content on a front page, whilst maximizing the return they expect from promoting it",Predictive Analytics for Online Media,,visualrevenue.com,,,,
,Evri,,News Aggregation,"Evri is pioneering a unique, topic-based approach to content discovery. Evri automatically and constantly indexes millions of topic-specific streams from thousands of different sources to filter through the noise of the web and deliver customized news experiences.",Personalized News Reader,,evri.com,"semantic, discovery, personalized news, news aggregation","web, mobile",,
,SailThru,,Social Media Marketing & CRM,"API based Email service provider focused on delivering all automated emails (both transactional and marketing) into the inbox. Provides marketing advice on creating engaging emails that drive traffic and revenues. Particularly relevant for those applications hosted within cloud infrastructure as their emails end up in the spam folder more often than not. Sailthru is the only email service provider with behavioral tracking and content selection. Market to the individual, not the unknown.",,,sailthru.com,"personalized email, behavioral email, content discovery, user engagement",web,,active
,Hakia,,Semantic Search,Hakia is a semantic search technology company.,,,hakia.com,semantic search,web,,active
,LMK,,News Aggregation,,,,lmk.com,"discovery, news, curation",mobile,,active
,Powerset,,Semantic Search,"Powerset is a search engine focused on natural language processing. In other words, Powerset will not search based simply on keywords alone, but will try to understand the semantic meaning behind the search phrase as a whole. The company launched in May 2008 with intentions of making search more easy and intuitive.",,,powerset.com,,,"Acquired by Microsoft, 7/08",discontinued
no,WalmartLabs,,,,,,walmartlabs.com,,,,
no,Kosmix,,Content Discovery,"Kosmix is a guide to the Web. The site (www.kosmix.com) lets users explore the Web by topic, presenting a dashboard of relevant videos, photos, news, commentary, opinion, communities and links to related topics. Kosmix's categorization engine organizes the Internet into magazine-style topic pages, enabling people to navigate the Web even if they don't know exactly what they're looking for.",Web guide organized by topic,,kosmix.com,"search, personalized news",,"Acquired by Walmart, 4/11",discontiinued
,YourVersion,,News Aggregation,"YourVersion is a personalized, real-time discovery engine that helps you to find new and relevant content based on your interests. YourVersion delivers new, personally relevant web content on an ongoing basis and lets you easily bookmark and share your discoveries with friends via email, Facebook, and Twitter.","Personalized, real-time discovery engine",,yourversion.com,"discovery, news, automated curation","web, mobile",,active
,Mahalo,,Content Guides / Summaries,"Mahalo is a human powered search engine founded by Silicon Alley veteran entrepreneur Jason Calacanis. Results are generated non-algorithmically by a team of profile builders who create pages for search terms. Mahalo includes the most appropriate hand found links and information about for about 10,000 unique queries.",,,mahalo.com,"search, human search, web guide",web,,active
